Sand_Type,Interface_Mode,Normal_Stress_sigma_n_kPa,Bedding_Angle_theta_deg,Shear_Displacement_u_mm,Shear_Stress_tau_kPa,Data_Type
River Sand,Sand-Sand,27.25,30,1.43,34.172,experimental_digitised
River Sand,Sand-Sand,27.25,30,1.66,34.001,experimental_digitised
River Sand,Sand-Sand,27.25,30,1.89,33.829,experimental_digitised
River Sand,Sand-Sand,27.25,30,2.12,33.657,experimental_digitised
River Sand,Sand-Sand,27.25,30,2.35,33.485,experimental_digitised
River Sand,Sand-Sand,27.25,30,2.58,33.314,experimental_digitised
River Sand,Sand-Sand,27.25,30,2.81,33.142,experimental_digitised
River Sand,Sand-Sand,27.25,30,3.04,32.97,experimental_digitised
River Sand,Sand-Sand,27.25,30,3.27,32.799,experimental_digitised
River Sand,Sand-Sand,27.25,30,3.5,32.627,experimental_digitised
River Sand,Sand-Sand,27.25,45,0,0,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.12,3.874,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.24,7.749,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.36,11.623,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.48,15.498,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.6,19.372,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.72,23.246,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.84,27.121,experimental_digitised
River Sand,Sand-Sand,27.25,45,0.96,30.995,experimental_digitised
River Sand,Sand-Sand,27.25,45,1.08,34.87,experimental_digitised
River Sand,Sand-Sand,27.25,45,1.2,38.744,experimental_digitised
River Sand,Sand-Sand,27.25,45,1.43,38.55,experimental_digitised
River Sand,Sand-Sand,27.25,45,1.66,38.357,experimental_digitised
River Sand,Sand-Sand,27.25,45,1.89,38.163,experimental_digitised
River Sand,Sand-Sand,27.25,45,2.12,37.969,experimental_digitised
River Sand,Sand-Sand,27.25,45,2.35,37.775,experimental_digitised
River Sand,Sand-Sand,27.25,45,2.58,37.582,experimental_digitised
River Sand,Sand-Sand,27.25,45,2.81,37.388,experimental_digitised
River Sand,Sand-Sand,27.25,45,3.04,37.194,experimental_digitised
River Sand,Sand-Sand,27.25,45,3.27,37.001,experimental_digitised
River Sand,Sand-Sand,27.25,45,3.5,36.807,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0,0,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.05,1.453,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.1,2.906,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.15,4.36,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.2,5.813,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.25,7.266,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.3,8.719,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.35,10.172,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.4,11.626,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.45,13.079,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.5,14.532,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.59,14.488,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.68,14.445,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.77,14.401,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.86,14.358,experimental_digitised
River Sand,Sand-Concrete,27.25,0,0.95,14.314,experimental_digitised
River Sand,Sand-Concrete,27.25,0,1.04,14.27,experimental_digitised
River Sand,Sand-Concrete,27.25,0,1.13,14.227,experimental_digitised
River Sand,Sand-Concrete,27.25,0,1.22,14.183,experimental_digitised
River Sand,Sand-Concrete,27.25,0,1.31,14.14,experimental_digitised
River Sand,Sand-Concrete,27.25,0,1.4,14.096,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0,0,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.05,1.499,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.1,2.997,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.15,4.496,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.2,5.995,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.25,7.494,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.3,8.992,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.35,10.491,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.4,11.99,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.45,13.489,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.5,14.987,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.59,14.942,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.68,14.898,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.77,14.853,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.86,14.807,experimental_digitised
River Sand,Sand-Concrete,27.25,15,0.95,14.763,experimental_digitised
River Sand,Sand-Concrete,27.25,15,1.04,14.718,experimental_digitised
River Sand,Sand-Concrete,27.25,15,1.13,14.673,experimental_digitised
River Sand,Sand-Concrete,27.25,15,1.22,14.627,experimental_digitised
River Sand,Sand-Concrete,27.25,15,1.31,14.583,experimental_digitised
River Sand,Sand-Concrete,27.25,15,1.4,14.538,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0,0,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.05,1.523,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.1,3.046,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.15,4.569,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.2,6.092,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.25,7.615,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.3,9.137,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.35,10.66,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.4,12.183,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.45,13.706,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.5,15.229,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.59,15.183,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.68,15.137,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.77,15.092,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.86,15.047,experimental_digitised
River Sand,Sand-Concrete,27.25,30,0.95,15.001,experimental_digitised
River Sand,Sand-Concrete,27.25,30,1.04,14.955,experimental_digitised
River Sand,Sand-Concrete,27.25,30,1.13,14.909,experimental_digitised
River Sand,Sand-Concrete,27.25,30,1.22,14.864,experimental_digitised
River Sand,Sand-Concrete,27.25,30,1.31,14.818,experimental_digitised
River Sand,Sand-Concrete,27.25,30,1.4,14.772,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0,0,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.05,1.629,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.1,3.258,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.15,4.887,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.2,6.516,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.25,8.145,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.3,9.774,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.35,11.403,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.4,13.032,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.45,14.661,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.5,16.29,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.59,16.241,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.68,16.192,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.77,16.143,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.86,16.094,experimental_digitised
River Sand,Sand-Concrete,27.25,45,0.95,16.045,experimental_digitised
River Sand,Sand-Concrete,27.25,45,1.04,15.997,experimental_digitised
River Sand,Sand-Concrete,27.25,45,1.13,15.948,experimental_digitised
River Sand,Sand-Concrete,27.25,45,1.22,15.898,experimental_digitised
River Sand,Sand-Concrete,27.25,45,1.31,15.85,experimental_digitised
River Sand,Sand-Concrete,27.25,45,1.4,15.801,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0,0,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.05,2.906,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.1,5.813,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.15,8.719,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.2,11.626,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.25,14.532,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.3,17.438,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.35,20.345,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.4,23.251,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.45,26.158,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.5,29.064,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.59,28.977,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.68,28.89,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.77,28.802,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.86,28.715,experimental_digitised
River Sand,Sand-Concrete,54.5,0,0.95,28.628,experimental_digitised
River Sand,Sand-Concrete,54.5,0,1.04,28.541,experimental_digitised
River Sand,Sand-Concrete,54.5,0,1.13,28.454,experimental_digitised
River Sand,Sand-Concrete,54.5,0,1.22,28.366,experimental_digitised
River Sand,Sand-Concrete,54.5,0,1.31,28.279,experimental_digitised
River Sand,Sand-Concrete,54.5,0,1.4,28.192,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0,0,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.05,2.997,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.1,5.995,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.15,8.992,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.2,11.99,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.25,14.987,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.3,17.984,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.35,20.982,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.4,23.979,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.45,26.976,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.5,29.974,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.59,29.884,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.68,29.794,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.77,29.704,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.86,29.614,experimental_digitised
River Sand,Sand-Concrete,54.5,15,0.95,29.524,experimental_digitised
River Sand,Sand-Concrete,54.5,15,1.04,29.435,experimental_digitised
River Sand,Sand-Concrete,54.5,15,1.13,29.344,experimental_digitised
River Sand,Sand-Concrete,54.5,15,1.22,29.255,experimental_digitised
River Sand,Sand-Concrete,54.5,15,1.31,29.165,experimental_digitised
River Sand,Sand-Concrete,54.5,15,1.4,29.075,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0,0,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.05,3.046,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.1,6.092,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.15,9.138,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.2,12.184,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.25,15.23,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.3,18.275,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.35,21.321,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.4,24.367,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.45,27.413,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.5,30.459,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.59,30.368,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.68,30.277,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.77,30.185,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.86,30.094,experimental_digitised
River Sand,Sand-Concrete,54.5,30,0.95,30.002,experimental_digitised
River Sand,Sand-Concrete,54.5,30,1.04,29.911,experimental_digitised
River Sand,Sand-Concrete,54.5,30,1.13,29.82,experimental_digitised
River Sand,Sand-Concrete,54.5,30,1.22,29.728,experimental_digitised
River Sand,Sand-Concrete,54.5,30,1.31,29.636,experimental_digitised
River Sand,Sand-Concrete,54.5,30,1.4,29.546,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0,0,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.05,3.258,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.1,6.516,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.15,9.774,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.2,13.031,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.25,16.29,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.3,19.547,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.35,22.805,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.4,26.063,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.45,29.321,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.5,32.579,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.59,32.481,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.68,32.383,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.77,32.286,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.86,32.187,experimental_digitised
River Sand,Sand-Concrete,54.5,45,0.95,32.09,experimental_digitised
River Sand,Sand-Concrete,54.5,45,1.04,31.993,experimental_digitised
River Sand,Sand-Concrete,54.5,45,1.13,31.894,experimental_digitised
River Sand,Sand-Concrete,54.5,45,1.22,31.797,experimental_digitised
River Sand,Sand-Concrete,54.5,45,1.31,31.699,experimental_digitised
River Sand,Sand-Concrete,54.5,45,1.4,31.601,experimental_digitised
River Sand,Sand-Concrete,109,0,0,0,experimental_digitised
River Sand,Sand-Concrete,109,0,0.05,5.813,experimental_digitised
River Sand,Sand-Concrete,109,0,0.1,11.625,experimental_digitised
River Sand,Sand-Concrete,109,0,0.15,17.438,experimental_digitised
River Sand,Sand-Concrete,109,0,0.2,23.251,experimental_digitised
River Sand,Sand-Concrete,109,0,0.25,29.064,experimental_digitised
River Sand,Sand-Concrete,109,0,0.3,34.876,experimental_digitised
River Sand,Sand-Concrete,109,0,0.35,40.689,experimental_digitised
River Sand,Sand-Concrete,109,0,0.4,46.502,experimental_digitised
River Sand,Sand-Concrete,109,0,0.45,52.314,experimental_digitised
River Sand,Sand-Concrete,109,0,0.5,58.127,experimental_digitised
River Sand,Sand-Concrete,109,0,0.59,57.953,experimental_digitised
River Sand,Sand-Concrete,109,0,0.68,57.778,experimental_digitised
River Sand,Sand-Concrete,109,0,0.77,57.604,experimental_digitised
River Sand,Sand-Concrete,109,0,0.86,57.429,experimental_digitised
River Sand,Sand-Concrete,109,0,0.95,57.255,experimental_digitised
River Sand,Sand-Concrete,109,0,1.04,57.081,experimental_digitised
River Sand,Sand-Concrete,109,0,1.13,56.906,experimental_digitised
River Sand,Sand-Concrete,109,0,1.22,56.732,experimental_digitised
River Sand,Sand-Concrete,109,0,1.31,56.558,experimental_digitised
River Sand,Sand-Concrete,109,0,1.4,56.383,experimental_digitised
River Sand,Sand-Concrete,109,15,0,0,experimental_digitised
River Sand,Sand-Concrete,109,15,0.05,5.995,experimental_digitised
River Sand,Sand-Concrete,109,15,0.1,11.99,experimental_digitised
River Sand,Sand-Concrete,109,15,0.15,17.984,experimental_digitised
River Sand,Sand-Concrete,109,15,0.2,23.979,experimental_digitised
River Sand,Sand-Concrete,109,15,0.25,29.974,experimental_digitised
River Sand,Sand-Concrete,109,15,0.3,35.969,experimental_digitised
River Sand,Sand-Concrete,109,15,0.35,41.964,experimental_digitised
River Sand,Sand-Concrete,109,15,0.4,47.958,experimental_digitised
River Sand,Sand-Concrete,109,15,0.45,53.953,experimental_digitised
River Sand,Sand-Concrete,109,15,0.5,59.948,experimental_digitised
River Sand,Sand-Concrete,109,15,0.59,59.768,experimental_digitised
River Sand,Sand-Concrete,109,15,0.68,59.588,experimental_digitised
River Sand,Sand-Concrete,109,15,0.77,59.409,experimental_digitised
River Sand,Sand-Concrete,109,15,0.86,59.229,experimental_digitised
River Sand,Sand-Concrete,109,15,0.95,59.049,experimental_digitised
River Sand,Sand-Concrete,109,15,1.04,58.868,experimental_digitised
River Sand,Sand-Concrete,109,15,1.13,58.689,experimental_digitised
River Sand,Sand-Concrete,109,15,1.22,58.509,experimental_digitised
River Sand,Sand-Concrete,109,15,1.31,58.329,experimental_digitised
River Sand,Sand-Concrete,109,15,1.4,58.149,experimental_digitised
River Sand,Sand-Concrete,109,30,0,0,experimental_digitised
River Sand,Sand-Concrete,109,30,0.05,6.092,experimental_digitised
River Sand,Sand-Concrete,109,30,0.1,12.184,experimental_digitised
River Sand,Sand-Concrete,109,30,0.15,18.275,experimental_digitised
River Sand,Sand-Concrete,109,30,0.2,24.367,experimental_digitised
River Sand,Sand-Concrete,109,30,0.25,30.459,experimental_digitised
River Sand,Sand-Concrete,109,30,0.3,36.551,experimental_digitised
River Sand,Sand-Concrete,109,30,0.35,42.643,experimental_digitised
River Sand,Sand-Concrete,109,30,0.4,48.734,experimental_digitised
River Sand,Sand-Concrete,109,30,0.45,54.826,experimental_digitised
River Sand,Sand-Concrete,109,30,0.5,60.918,experimental_digitised
River Sand,Sand-Concrete,109,30,0.59,60.736,experimental_digitised
River Sand,Sand-Concrete,109,30,0.68,60.553,experimental_digitised
River Sand,Sand-Concrete,109,30,0.77,60.37,experimental_digitised
River Sand,Sand-Concrete,109,30,0.86,60.187,experimental_digitised
River Sand,Sand-Concrete,109,30,0.95,60.005,experimental_digitised
River Sand,Sand-Concrete,109,30,1.04,59.822,experimental_digitised
River Sand,Sand-Concrete,109,30,1.13,59.639,experimental_digitised
River Sand,Sand-Concrete,109,30,1.22,59.456,experimental_digitised
River Sand,Sand-Concrete,109,30,1.31,59.274,experimental_digitised
River Sand,Sand-Concrete,109,30,1.4,59.091,experimental_digitised
River Sand,Sand-Concrete,109,45,0,0,experimental_digitised
River Sand,Sand-Concrete,109,45,0.05,6.516,experimental_digitised
River Sand,Sand-Concrete,109,45,0.1,13.031,experimental_digitised
River Sand,Sand-Concrete,109,45,0.15,19.547,experimental_digitised
River Sand,Sand-Concrete,109,45,0.2,26.063,experimental_digitised
River Sand,Sand-Concrete,109,45,0.25,32.579,experimental_digitised
River Sand,Sand-Concrete,109,45,0.3,39.095,experimental_digitised
River Sand,Sand-Concrete,109,45,0.35,45.61,experimental_digitised
River Sand,Sand-Concrete,109,45,0.4,52.126,experimental_digitised
River Sand,Sand-Concrete,109,45,0.45,58.641,experimental_digitised
River Sand,Sand-Concrete,109,45,0.5,65.157,experimental_digitised
River Sand,Sand-Concrete,109,45,0.59,64.962,experimental_digitised
River Sand,Sand-Concrete,109,45,0.68,64.766,experimental_digitised
River Sand,Sand-Concrete,109,45,0.77,64.571,experimental_digitised
River Sand,Sand-Concrete,109,45,0.86,64.376,experimental_digitised
River Sand,Sand-Concrete,109,45,0.95,64.18,experimental_digitised
River Sand,Sand-Concrete,109,45,1.04,63.984,experimental_digitised
River Sand,Sand-Concrete,109,45,1.13,63.79,experimental_digitised
River Sand,Sand-Concrete,109,45,1.22,63.594,experimental_digitised
River Sand,Sand-Concrete,109,45,1.31,63.398,experimental_digitised
River Sand,Sand-Concrete,109,45,1.4,63.203,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0,0,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.12,3.3,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.24,6.6,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.36,9.899,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.48,13.199,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.6,16.499,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.72,19.799,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.84,23.099,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,0.96,26.398,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,1.08,29.698,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,1.2,32.998,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,1.43,32.833,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,1.66,32.668,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,1.89,32.503,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,2.12,32.338,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,2.35,32.173,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,2.58,32.008,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,2.81,31.843,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,3.04,31.678,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,3.27,31.513,experimental_digitised
Crushed Sand,Sand-Sand,27.25,0,3.5,31.348,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0,0,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.12,3.751,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.24,7.501,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.36,11.252,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.48,15.002,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.6,18.753,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.72,22.504,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.84,26.254,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,0.96,30.005,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,1.08,33.755,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,1.2,37.506,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,1.43,37.318,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,1.66,37.131,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,1.89,36.943,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,2.12,36.756,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,2.35,36.568,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,2.58,36.381,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,2.81,36.193,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,3.04,36.006,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,3.27,35.818,experimental_digitised
Crushed Sand,Sand-Sand,27.25,15,3.5,35.631,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0,0,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.12,4.1,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.24,8.2,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.36,12.3,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.48,16.4,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.6,20.5,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.72,24.599,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.84,28.699,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,0.96,32.799,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,1.08,36.899,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,1.2,40.999,experimental_digitised
Crushed Sand,Sand-Sand,27.25,30,1.43,40.794,experimental_digitised
